Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:00.0000,70,0,0,-0,0
00:00:00.0000,70,0,0,-0,0
00:00:00.1000,70,0,0,-0,0
00:00:00.2000,70,0,0,-0,0
00:00:00.3000,70,0,0,-0,0
00:00:00.4000,70,0,0,-0,0
00:00:00.5000,70,0,0,-0,0
00:00:00.6000,70,0,0,-0,0
00:00:00.7000,70,0,0,-0,0
00:00:00.7999,70,0,0,-0,0
00:00:00.9000,70,0,0,-0,0
00:00:01.0000,70,0,0,-0,0
00:00:01.1000,70,0,0,-0,0
00:00:01.2000,70,0,0,-0,0
00:00:01.3000,70,0,0,-0,0
00:00:01.4000,70,0,0,-0,0
00:00:01.5000,70,0,0,-0,0
00:00:01.6000,70,0,0,-0,0
00:00:01.7000,70,0,0,-0,0
00:00:01.8000,70,0,0,-0,0
00:00:01.9000,70,0,0,-0,0
00:00:02.0000,70,0,0,-0,0
00:00:02.1000,70,0,0,-0,0
00:00:02.2000,70,0,0,-0,0
00:00:02.3000,70,0,0,-0,0
00:00:02.4000,70,0,0,-0,0
00:00:02.5000,70,0,0,-0,0
00:00:02.6000,70,0,0,-0,0
00:00:02.7000,70,0,0,-0,0
00:00:02.8000,70,0,0,-0,0
00:00:02.9000,70,0,0,-0,0
00:00:03.0000,70,0,0,-0,0
00:00:03.1000,70,0,0,-0,0
00:00:03.2000,70,0,0,-0,0
00:00:03.3000,70,0,0,-0,0
00:00:03.4000,70,0,0,-0,0
00:00:03.5000,70,0,0,-0,0
00:00:03.6000,70,0,0,-0,0
00:00:03.7000,70,0,0,-0,0
00:00:03.8000,70,0,0,-0,0
00:00:03.9000,70,0,0,-0,0
00:00:04.0000,70,0,0,-0,0
00:00:04.1000,70,0,0,-0,0
00:00:04.1999,70,0,0,-0,0
00:00:04.2999,70,0,0,-0,0
00:00:04.3999,70,0,0,-0,0
00:00:04.5000,70,0,0,-0,0
00:00:04.6000,70,0,0,-0,0
00:00:04.6999,70,0,0,-0,0
00:00:04.7999,70,0,0,-0,0
00:00:04.8999,70,0,0,-0,0
00:00:05.0000,70,0,0,-0,0
00:00:05.1000,70,0,0,-0,0
00:00:05.1999,70,0,0,-0,0
00:00:05.2999,70,0,0,-0,0
00:00:05.3999,70,0,0,-0,0
00:00:05.5000,70,0,0,-0,0
00:00:05.6000,70,0,0,-0,0
00:00:05.6999,70,0,0,-0,0
00:00:05.7999,70,0,0,-0,0
00:00:05.8999,70,0,0,-0,0
00:00:06.0000,70,0,0,-0,0
00:00:06.1000,70,0,0,-0,0
00:00:06.1999,70,0,0,-0,0
00:00:06.2999,70,0,0,-0,0
00:00:06.3999,70,0,0,-0,0
00:00:06.5000,70,0,0,-0,0
00:00:06.6000,70,0,0,-0,0
00:00:06.6999,70,0,0,-0,0
00:00:06.7999,70,0,0,-0,0
00:00:06.8999,70,0,0,-0,0
00:00:07.0000,70,0,0,-0,0
00:00:07.1000,70,0,0,-0,0
00:00:07.1999,70,0,0,-0,0
00:00:07.2999,70,0,0,-0,0
00:00:07.3999,70,0,0,-0,0
00:00:07.5000,70,0,0,-0,0
00:00:07.6000,70,0,0,-0,0
00:00:07.6999,70,0,0,-0,0
00:00:07.7999,70,0,0,-0,0
00:00:07.8999,70,0,0,-0,0
00:00:08.0000,70,0,0,-0,0
00:00:08.1000,70,0,0,-0,0
00:00:08.2000,70,0,0,-0,0
00:00:08.2999,70,0,0,-0,0
00:00:08.3999,70,0,0,-0,0
00:00:08.5000,70,0,0,-0,0
00:00:08.6000,70,0,0,-0,0
00:00:08.7000,70,0,0,-0,0
00:00:08.7999,70,0,0,-0,0
00:00:08.8999,70,0,0,-0,0
00:00:09.0000,70,0,0,-0,0
00:00:09.1000,70,0,0,-0,0
00:00:09.2000,70,0,0,-0,0
00:00:09.2999,70,0,0,-0,0
00:00:09.3999,70,0,0,-0,0
00:00:09.5000,70,0,0,-0,0
00:00:09.6000,70,0,0,-0,0
00:00:09.7000,70,0,0,-0,0
00:00:09.7999,70,0,0,-0,0
00:00:09.8999,70,0,0,-0,0
00:00:10.0000,70,0,0,-0,0
00:00:10.0000,70,3.89726533549324e-23,1.14625451043919e-22,1.49563199683643e-17,2.75951879307526e-20
00:00:10.0000,70,2.99955716280489e-15,8.82222694942616e-15,4.19311361821202e-09,5.93734969181484e-12
00:00:10.0000,70,4.7026396699165e-14,1.38312931468132e-13,1.66025127315799e-08,2.94461148642887e-11
00:00:10.0001,70,2.88027649904536e-13,8.47140146778047e-13,4.1087995269313e-08,8.76257439246953e-11
00:00:10.0001,70,9.75309148207975e-13,2.86855631825875e-12,7.56076507762069e-08,1.78599868601632e-10
00:00:10.0002,70,5.87401977948244e-12,1.72765287631836e-11,1.8554722646983e-07,5.4041344244844e-10
00:00:10.0003,70,5.3426215165994e-11,1.57135926958806e-10,5.59561409725449e-07,2.26739049138428e-09
00:00:10.0006,70,1.00357235795633e-09,2.95168340575391e-09,2.42496233730667e-06,1.66269168399913e-08
00:00:10.0007,70,4.0855049464789e-09,1.20161910190556e-08,4.89251513514803e-06,4.08869685475122e-08
00:00:10.0009,70,1.25019501259204e-08,3.67704415468247e-08,8.55806774929766e-06,8.50380159256181e-08
00:00:10.0011,70,3.15276770626673e-08,9.27284619490215e-08,1.35896864846562e-05,1.5738098578449e-07
00:00:10.0013,70,6.91195114948875e-08,2.03292680867316e-07,2.01205407412158e-05,2.6715393653426e-07
00:00:10.0015,70,1.36343044049185e-07,4.0100895308584e-07,2.82573257228835e-05,4.24372735144747e-07
00:00:10.0017,70,2.47708338615891e-07,7.28553937105561e-07,3.80854941899439e-05,6.39679779274865e-07
00:00:10.0019,69.9999999999999,4.8377536079276e-07,1.422868708214e-06,5.32203554003032e-05,1.01881261142194e-06
00:00:10.0022,69.9999999999998,9.80255033719466e-07,2.88310304035137e-06,7.57501612902666e-05,1.67313680316239e-06
00:00:10.0025,69.9999999999996,1.80731839548463e-06,5.31564233966067e-06,0.000102846379664817,2.57777229292676e-06
00:00:10.0028,69.9999999999992,3.521338667823e-06,1.03568784347735e-05,0.000143539351114772,4.14828130183127e-06
00:00:10.0033,69.9999999999981,7.09582432375911e-06,2.0870071540468e-05,0.000203727588380102,6.86945985182261e-06
00:00:10.0038,69.9999999999953,1.44737843051467e-05,4.25699538386667e-05,0.000290907638650131,1.15268333372239e-05
00:00:10.0044,69.9999999999886,2.9852998596794e-05,8.78029370493942e-05,0.000417689557814837,1.95891886588895e-05
00:00:10.0052,69.9999999999709,6.31729048163283e-05,0.000185802661224495,0.000607422662286972,3.41003151621447e-05
00:00:10.0063,69.9999999999207,0.000139990470121483,0.000411736676827892,0.000903843178610754,6.18013589489402e-05
00:00:10.0077,69.9999999997628,0.000331750438502636,0.000975736583831282,0.00139054205155409,0.000118654826247924
00:00:10.0096,69.999999999204,0.000852444741849061,0.00250719041720312,0.00222678431586943,0.000244437465965317
00:00:10.0116,69.9999999979711,0.00179476980682093,0.00527873472594391,0.00322705301135104,0.000433417061930528
00:00:10.0135,69.9999999956189,0.00330486932609557,0.00972020390028108,0.0043716920445526,0.000696105610954841
00:00:10.0155,69.9999999915703,0.00552661289009209,0.0162547437943885,0.00564023959443835,0.00104178557258028
00:00:10.0174,69.9999999851222,0.00859448573858787,0.0252778992311408,0.00701156426787706,0.0014782969884296
00:00:10.0194,69.9999999754578,0.0126276827922332,0.0371402435065681,0.0084648594401763,0.00201202125503328
00:00:10.0213,69.9999999616616,0.0177253774182521,0.0521334629948591,0.00998278276039543,0.00264803755200966
00:00:10.0238,69.9999999366525,0.0257908286596671,0.0758553784107855,0.0119758423976856,0.00360422287667168
00:00:10.0272,69.9999998845972,0.0399631988814106,0.117538820239443,0.0148379620612288,0.00520929733193254
00:00:10.0311,69.9999997913844,0.0610244610700514,0.179483709029563,0.0182892454542643,0.00752253765323668
00:00:10.0351,69.9999996555705,0.0866208813617109,0.254767298122679,0.0217456939369945,0.0103161035543777
00:00:10.0390,69.999999469663,0.115983729197939,0.341128615288056,0.0251098168853565,0.0135842505557839
00:00:10.0430,69.9999992278,0.148020638917015,0.435354820344162,0.0283033289194764,0.017309079231782
00:00:10.0469,69.999998926293,0.181430280824737,0.533618473013933,0.0312611522954477,0.0214624778241904
00:00:10.0509,69.9999985639027,0.214822706139846,0.631831488646607,0.0339312587261045,0.0260080870709569
00:00:10.0561,69.9999979983872,0.256335275809823,0.753927281793596,0.0369339161889691,0.0324943296029245
00:00:10.0613,69.9999973397467,0.29282036475298,0.861236366920529,0.0393229464443964,0.0394737755981439
00:00:10.0675,69.9999964453978,0.327255369947917,0.962515793964461,0.0413587710796102,0.0483604064406846
00:00:10.0738,69.9999954695157,0.349530030690193,1.02802950202998,0.0424999952726964,0.0575983125716981
00:00:10.0800,69.999994447155,0.359312092406593,1.0568002717841,0.0428168092654031,0.0669994902511647
00:00:10.0863,69.9999934124681,0.357722583299724,1.05212524499919,0.0424190255814938,0.0763944915729697
00:00:10.0925,69.9999923950369,0.346911410074865,1.02032767669078,0.0414436077051172,0.0856408879897445
00:00:10.0988,69.9999914175926,0.329559900469112,0.969293824909153,0.0400418605332928,0.0946279446815912
00:00:10.1050,69.9999904951099,0.308425988114958,0.907135259161642,0.0383677036814151,0.103278457695276
00:00:10.1113,69.999989635044,0.286001385193317,0.841180544686228,0.0365676793494251,0.111548227972513
00:00:10.1175,69.9999888383577,0.26430664061627,0.777372472400795,0.0347730246922844,0.119423587567997
